"Japanese","English"
"//Text $1B5EC0
#WRITE(ptr,$18F334)
[Sign_Shield]レザーアーマー[END]
","//Text $1B5EC0
#WRITE(ptr,$18F334)
[Sign_Shield]Leather Armor[END]
"
"//Text $1B5E60
#WRITE(ptr,$18F338)
革を繋ぎ合わせて作られた上半身鎧。[LINE]
軽くてそこそこ丈夫なため、[LINE]
冒険者たちに長年愛用されている。[END]
","//Text $1B5E60
#WRITE(ptr,$18F338)
Upper body armor made of leather.[LINE]
Favored by adventurers due to its[LINE]
lightness and fair protection.[END]
"
"//Text $1B5E48
#WRITE(ptr,$18F370)
[Sign_Shield]ブロンズアーマー[END]
","//Text $1B5E48
#WRITE(ptr,$18F370)
[Sign_Shield]Bronze Armor[END]
"
"//Text $1B5DF8
#WRITE(ptr,$18F374)
薄い銅板で作られた上半身鎧。[LINE]
天地戦争時代から使われていた、[LINE]
伝統ある鎧。[END]
","//Text $1B5DF8
#WRITE(ptr,$18F374)
Upper body armor made of thin[LINE]
bronze. Traditional armor used[LINE]
since the age of the Aeth'er War.[END]
"
"//Text $1B5DE0
#WRITE(ptr,$18F3AC)
[Sign_Shield]アイアンアーマー[END]
","//Text $1B5DE0
#WRITE(ptr,$18F3AC)
[Sign_Shield]Iron Armor[END]
"
"//Text $1B5D98
#WRITE(ptr,$18F3B0)
鉄板で作られた上半身鎧。[LINE]
重いが硬くて頑丈。[LINE]
もっとも身近な金属。[END]
","//Text $1B5D98
#WRITE(ptr,$18F3B0)
Upper body armor made of iron, the[LINE]
most familiar of metals. Sturdy and[LINE]
tough, but heavy.[END]
"
"//Text $1B5D80
#WRITE(ptr,$18F3E8)
[Sign_Shield]スチールアーマー[END]
","//Text $1B5D80
#WRITE(ptr,$18F3E8)
[Sign_Shield]Steel Armor[END]
"
"//Text $1B5D40
#WRITE(ptr,$18F3EC)
複数枚の鋼板で作られた上半身鎧。[LINE]
騎士見習たちの愛用品。[LINE]
[END]
","//Text $1B5D40
#WRITE(ptr,$18F3EC)
Upper body armor made of[LINE]
several steel plates. Favored[LINE]
by knight apprentices.[END]
"
"//Text $1B5D28
#WRITE(ptr,$18F424)
[Sign_Shield]チタンアーマー[END]
","//Text $1B5D28
#WRITE(ptr,$18F424)
[Sign_Shield]Titanium Armor[END]
"
"//Text $1B5CE0
#WRITE(ptr,$18F428)
チタン合金で強化した上半身鎧。[LINE]
非常に軽く、並外れた耐食性を持つ。[LINE]
[END]
","//Text $1B5CE0
#WRITE(ptr,$18F428)
Upper body armor strengthened[LINE]
with a titanium alloy. Very light[LINE]
and corrosion resistant.[END]
"
"//Text $1B5CC8
#WRITE(ptr,$18F460)
[Sign_Shield]シルバーアーマー[END]
","//Text $1B5CC8
#WRITE(ptr,$18F460)
[Sign_Shield]Silver Armor[END]
"
"//Text $1B5C78
#WRITE(ptr,$18F464)
銀細工で装飾された上半身鎧。[LINE]
白い輝きが美しい。[LINE]
聖なる祈りが込められている。[END]
","//Text $1B5C78
#WRITE(ptr,$18F464)
Upper body armor decorated with[LINE]
silverwork. Has a beautiful luster[LINE]
and is imbued with prayers.[END]"
"//Text $1B5C60
#WRITE(ptr,$18F49C)
[Sign_Shield]ゴールドアーマー[END]
","//Text $1B5C60
#WRITE(ptr,$18F49C)
[Sign_Shield]Gold Armor[END]
"
"//Text $1B5C28
#WRITE(ptr,$18F4A0)
金細工で装飾した上半身鎧。[LINE]
別名「豪華な上半身鎧」。[LINE]
[END]
","//Text $1B5C28
#WRITE(ptr,$18F4A0)
Upper body armor decorated[LINE]
with gold. Also known as the[LINE]
""Opulent Armor"".[END]

"
"//Text $1B5C10
#WRITE(ptr,$18F4D8)
[Sign_Shield]ミスリルアーマー[END]
","//Text $1B5C10
#WRITE(ptr,$18F4D8)
[Sign_Shield]Mithril Armor[END]
"
"//Text $1B5BC8
#WRITE(ptr,$18F4DC)
ミスリル細工で装飾された上半身鎧。[LINE]
ドワーフ族の芸術作品といわれる。[LINE]
[END]
","//Text $1B5BC8
#WRITE(ptr,$18F4DC)
Upper body armor decorated[LINE]
with Mithril. Considered to[LINE]
be a Dwarven work of art.[END]"
"//Text $1B5BB0
#WRITE(ptr,$18F514)
[Sign_Shield]リングアーマー[END]
","//Text $1B5BB0
#WRITE(ptr,$18F514)
[Sign_Shield]Ring Armor[END]
"
"//Text $1B5B70
#WRITE(ptr,$18F518)
金属の環を縫い合わせた上半身鎧。[LINE]
刀剣等の攻撃から身を守る。[LINE]
[END]
","//Text $1B5B70
#WRITE(ptr,$18F518)
Upper body armor sewn with[LINE]
metal rings. Protects the body[LINE]
from slashing attacks.[END]"
"//Text $1B5B58
#WRITE(ptr,$18F550)
[Sign_Shield]チェインアーマー[END]
","//Text $1B5B58
#WRITE(ptr,$18F550)
[Sign_Shield]Chain Armor[END]
"
"//Text $1B5AF8
#WRITE(ptr,$18F554)
鋼糸で縫製された上半身鎧。[LINE]
すぐに着ることができるのが特徴。[LINE]
多くの戦士たちに愛用されている。[END]
","//Text $1B5AF8
#WRITE(ptr,$18F554)
Upper body armor sewn with[LINE]
steel wires. Easy to put on and[LINE]
a favorite of soldiers.[END]"
"//Text $1B5AE0
#WRITE(ptr,$18F58C)
[Sign_Shield]ホワイトアーマー[END]
","//Text $1B5AE0
#WRITE(ptr,$18F58C)
[Sign_Shield]White Armor[END]
"
"//Text $1B5A80
#WRITE(ptr,$18F590)
美しく磨かれた白い上半身鎧。[LINE]
祭儀用に使われる純白の鎧。[LINE]
光の加護を受けると言われている。[END]
","//Text $1B5A80
#WRITE(ptr,$18F590)
Beautifully polished upper body armor.[LINE]
Pure white armor used in rituals. Said[LINE]
to hold the divine protection of light.[END]"
"//Text $1B5A68
#WRITE(ptr,$18F5C8)
[Sign_Shield]ナイツアーマー[END]
","//Text $1B5A68
#WRITE(ptr,$18F5C8)
[Sign_Shield]Knight Armor[END]
"
