"Japanese","English"
"//Text $1B83F0
#WRITE(ptr,$191208)
[Sign_1]レザーガントレット[END]
","//Text $1B83F0
#WRITE(ptr,$191208)
[Sign_1]Leather Gauntlets[END]
"
"//Text $1B83A8
#WRITE(ptr,$19120C)
革で繋ぎ合わせたガントレット。[LINE]
軽くてそこそこ丈夫。[LINE]
見習剣士の必需品。[END]
","//Text $1B83A8
#WRITE(ptr,$19120C)
Gauntlets strung together with leather. [LINE]
Light and reasonably strong. Essential[LINE]
for apprentice swordsmen. [END]
"
"//Text $1B8388
#WRITE(ptr,$191228)
[Sign_1]ブロンズガントレット[END]
","//Text $1B8388
#WRITE(ptr,$191228)
[Sign_1]Bronze Gauntlet[END]
"
"//Text $1B8338
#WRITE(ptr,$19122C)
薄い銅板で作られたガントレット。[LINE]
天地戦争時代から使われていた、[LINE]
伝統ある篭手。[END]
","//Text $1B8338
#WRITE(ptr,$19122C)
Gauntlets made of thin bronze.[LINE]
Traditionally used since the age[LINE]
of the Aeth'er War.[END]"
"//Text $1B8318
#WRITE(ptr,$191248)
[Sign_1]アイアンガントレット[END]
","//Text $1B8318
#WRITE(ptr,$191248)
[Sign_1]Iron Gauntlets[END]
"
"//Text $1B82D0
#WRITE(ptr,$19124C)
鉄板で作られたガントレット。[LINE]
重いが堅くて丈夫。[LINE]
もっとも身近な金属。[END]
","//Text $1B82D0
#WRITE(ptr,$19124C)
Gauntlets made of iron, the most[LINE]
familiar of metals. Sturdy and[LINE]
tough, but heavy.[END]"
"//Text $1B82B0
#WRITE(ptr,$191268)
[Sign_1]スチールガントレット[END]
","//Text $1B82B0
#WRITE(ptr,$191268)
[Sign_1]Steel Gauntlets[END]
"
"//Text $1B8278
#WRITE(ptr,$19126C)
鋼板で作られたガントレット。[LINE]
騎士見習たちの愛用品。[LINE]
[END]
","//Text $1B8278
#WRITE(ptr,$19126C)
Gauntlets made of several[LINE]
steel plates. A favorite of[LINE]
knight apprentices.[END]"
"//Text $1B8260
#WRITE(ptr,$191288)
[Sign_1]チタンガントレット[END]
","//Text $1B8260
#WRITE(ptr,$191288)
[Sign_1]Titanium Gauntlets[END]
"
"//Text $1B8218
#WRITE(ptr,$19128C)
チタン合金で強化したガントレット。[LINE]
非常に軽く、並外れた耐食性を持つ。[LINE]
[END]
","//Text $1B8218
#WRITE(ptr,$19128C)
Gauntlets strengthened with a[LINE]
titanium alloy. Very light and[LINE]
corrosion resistant.[END]"
"//Text $1B81F8
#WRITE(ptr,$1912A8)
[Sign_1]シルバーガントレット[END]
","//Text $1B81F8
#WRITE(ptr,$1912A8)
[Sign_1]Silver Gauntlets[END]
"
"//Text $1B81C0
#WRITE(ptr,$1912AC)
銀細工で装飾されたガントレット。[LINE]
白い輝きが美しい。[LINE]
[END]
","//Text $1B81C0
#WRITE(ptr,$1912AC)
Gauntlets decorated with silverwork.[LINE]
Has a beautiful luster.[LINE]
[END]"
"//Text $1B81A0
#WRITE(ptr,$1912C8)
[Sign_1]ゴールドガントレット[END]
","//Text $1B81A0
#WRITE(ptr,$1912C8)
[Sign_1]Gold Gauntlets[END]
"
"//Text $1B8160
#WRITE(ptr,$1912CC)
金細工で装飾したガントレット。[LINE]
別名「豪華なガントレット」。[LINE]
[END]
","//Text $1B8160
#WRITE(ptr,$1912CC)
Gauntlets decorated with gold.[LINE]
Also known as the ""Opulent[LINE]
Gauntlets.""[END]"
"//Text $1B8140
#WRITE(ptr,$1912E8)
[Sign_1]ミスリルガントレット[END]
","//Text $1B8140
#WRITE(ptr,$1912E8)
[Sign_1]Mithril Gauntlet[END]
"
"//Text $1B8100
#WRITE(ptr,$1912EC)
ミスリル細工のガントレット。[LINE]
ドワーフ族の芸術作品といわれる。[LINE]
[END]
","//Text $1B8100
#WRITE(ptr,$1912EC)
Gauntlets decorated with[LINE]
Mithril. Considered to be[LINE]
a Dwarven work of art.[END]"
"//Text $1B80E0
#WRITE(ptr,$191308)
[Sign_1]ハイパーガントレット[END]
","//Text $1B80E0
#WRITE(ptr,$191308)
[Sign_1]Hyper Gauntlets[END]
"
"//Text $1B8090
#WRITE(ptr,$19130C)
獅子の牙と火鼠の皮で加工した[LINE]
ガントレット。[LINE]
百獣の王の力が込められている。[END]
","//Text $1B8090
#WRITE(ptr,$19130C)
Gauntlets made with lion teeth and[LINE]
fire rat skin. Imbued with the power[LINE]
of the King of Beasts.[END]"
"//Text $1B8078
#WRITE(ptr,$191328)
[Sign_1]レアガントレット[END]
","//Text $1B8078
#WRITE(ptr,$191328)
[Sign_1]Rare Gauntlets[END]
"
"//Text $1B5880
#WRITE(ptr,$19132C)
名工ギースの魂のこもった[LINE]
無二の傑作。[LINE]
きわめて希少価値が高い。[END]
","//Text $1B5880
#WRITE(ptr,$19132C)
Masterpiece imbued with the soul[LINE]
of Giese. Extremely valuable.[LINE]
[END]
"
"//Text $1B8060
#WRITE(ptr,$191348)
[Sign_1]バトルガントレット[END]
","//Text $1B8060
#WRITE(ptr,$191348)
[Sign_1]Battle Gauntlets[END]
"
"//Text $1B8000
#WRITE(ptr,$19134C)
戦闘用に特化したガントレット。[LINE]
機能性が良いだけではなく、[LINE]
装備者の力を限界まで引き上げる。[END]
","//Text $1B8000
#WRITE(ptr,$19134C)
Gauntlets made specially for combat.[LINE]
Not only functional, but also has the[LINE]
power to push past one's limits.[END]"
"//Text $1B7FE8
#WRITE(ptr,$191368)
[Sign_1]グリムガントレット[END]
","//Text $1B7FE8
#WRITE(ptr,$191368)
[Sign_1]Grimm Gauntlets[END]
"
"//Text $1B7F90
#WRITE(ptr,$19136C)
伝説に登場する幻想の力を秘めた[LINE]
ガントレット。口伝を書物に[LINE]
まとめた兄弟の名を冠する。[END]
","//Text $1B7F90
#WRITE(ptr,$19136C)
Gauntlets imbued with the hidden power[LINE]
of fantasies. Named after the brothers[LINE]
who collected oral traditions.[END]"
"//Text $1B7F78
#WRITE(ptr,$191388)
[Sign_1]レザーグローブ[END]
","//Text $1B7F78
#WRITE(ptr,$191388)
[Sign_1]Leather Gloves[END]
"
"//Text $1B7F30
#WRITE(ptr,$19138C)
革で繋ぎ合わせたグローブ。[LINE]
少し固いが丈夫で安全。[LINE]
女性の旅のお供に。[END]
","//Text $1B7F30
#WRITE(ptr,$19138C)
Bound together by leather. Somewhat stiff,[LINE]
but strong gloves. A regular companion of[LINE]
female travellers.[END]"
"//Text $1B7F18
#WRITE(ptr,$1913A8)
[Sign_1]プリティグローブ[END]
","//Text $1B7F18
#WRITE(ptr,$1913A8)
[Sign_1]Pretty Gloves[END]
"
"//Text $1B7EC0
#WRITE(ptr,$1913AC)
まふまふの毛で作られたファーが[LINE]
ついてる可愛い手袋。[LINE]
寒くてもお洒落したいあなたへ。[END]
","//Text $1B7EC0
#WRITE(ptr,$1913AC)
Cute mittens made of soft fur.[LINE]
For those who are stylish but[LINE]
feel cold.[END]"
"//Text $1B7EA8
#WRITE(ptr,$1913C8)
[Sign_1]ホワイトグローブ[END]
","//Text $1B7EA8
#WRITE(ptr,$1913C8)
[Sign_1]White Gloves[END]
"
"//Text $1B7E48
#WRITE(ptr,$1913CC)
シルクで作られた美しいグローブ。[LINE]
滑らかな手触りに上品な刺繍。[LINE]
身に付けるだけであなたも淑女に。[END]
","//Text $1B7E48
#WRITE(ptr,$1913CC)
Beautiful gloves made of silk.[LINE]
Elegant and soft to the touch.[LINE]
You too can be a lady.[END]"
"//Text $1B7E30
#WRITE(ptr,$1913E8)
[Sign_1]ムーングローブ[END]
","//Text $1B7E30
#WRITE(ptr,$1913E8)
[Sign_1]Moon Gloves[END]
"
"//Text $1B7DD8
#WRITE(ptr,$1913EC)
月夜を意匠して作られたグローブ。[LINE]
聖なる月の力が宿っている。[LINE]
クロークとセットでどうぞ。[END]
","//Text $1B7DD8
#WRITE(ptr,$1913EC)
Gloves designed after a moonlit night.[LINE]
Endowed with the moon's holy power.[LINE]
Goes well with its cloak.[END]"
"//Text $1B7DC0
#WRITE(ptr,$191408)
[Sign_1]スターグローブ[END]
","//Text $1B7DC0
#WRITE(ptr,$191408)
[Sign_1]Star Gloves[END]
"
